TERM,GENE
YAP,Hist4h4
YAP,Sgk2
YAP,Hbegf
YAP,Cidec
YAP,1700019G06Rik
YAP,Pard6b
YAP,Wtip
YAP,Rhod
YAP,Lama3
YAP,Prss23
YAP,Lynx1
YAP,Ppp1r15a
YAP,Emp2
YAP,Adamtsl4
YAP,Trpm6
YAP,F3
YAP,Mycbpap
YAP,Wwc1
YAP,Sema3c
YAP,Sh3tc2
YAP,Sertad4
YAP,Slc7a11
YAP,Dusp9
YAP,Pear1
YAP,Cdkn1c
YAP,Adamts15
YAP,Cd55
YAP,Bex1
YAP,Slc25a48
YAP,2010002M12Rik
YAP,Sprr1a
YAP,Ldhd
YAP,Emp3
YAP,Nr4a1
YAP,Csrnp1
YAP,Arhgap29
YAP,Slc9a4
YAP,Adm
YAP,Rin1
YAP,Gm14446
YAP,Ppp1r2
YAP,S100a4
YAP,Slamf9
YAP,Gm17622
YAP,Zfp57
YAP,Cxcl16
YAP,Trex2
YAP,Zbp1
YAP,2310014H01Rik
YAP,Klhl13
YAP,Tnfrsf12a
YAP,Clcf1
YAP,Smtnl2
YAP,A230065N10Rik
YAP,Npnt
YAP,Kifc3
YAP,Dok2
YAP,Fam189a2
YAP,Timp2
YAP,Il1rn
YAP,Bcam
YAP,Prl2c3
YAP,Mras
YAP,Emp1
YAP,Lamb2
YAP,Anxa8
YAP,Flna
YAP,Pdlim2
YAP,1110032A04Rik
YAP,Mmp23
YAP,Myo1c
YAP,Dlk2
YAP,Lamb3
YAP,D14Ertd668e
YAP,Hspa1a
YAP,Dusp10
YAP,Fam55c
YAP,Cav2
YAP,Zmynd15
YAP,Mrc1
YAP,Sorbs2
YAP,Ildr1
YAP,Crip2
YAP,Lats2
YAP,Cish
YAP,Nrip3
YAP,Slc6a14
YAP,Hmox1
YAP,Slc35e4
YAP,Fbxo24
YAP,Atf3
YAP,Abcc5
YAP,Nbl1
YAP,Ifit1
YAP,Oas3
YAP,Akap5
YAP,Omp
YAP,Dnahc2
YAP,Hist1h1e
YAP,Cnn2
YAP,Pcsk6
YAP,Chrnb1
YAP,Tgm1
YAP,Rin3
YAP,Thbs1
YAP,Slc5a5
YAP,Spon1
YAP,Gm10972
YAP,Klrg2
YAP,Pak6
YAP,Plk2
